"Country","Method","Energy.type","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","Sector","var","1971","2000"
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-ferrous metals","Useful",2071.2622153532,14966.544402179
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-ferrous metals","eta_fu",0.0249230608183846,0.266079393278897
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-metallic minerals","Final",53178.2004,45185.2226
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-metallic minerals","Useful",6102.6017072353,10549.8267642606
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Non-metallic minerals","eta_fu",0.1147575822674,0.233479579322923
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Paper, pulp and printing","Final",1778.4,8155.512
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Paper, pulp and printing","Useful",650.301054995898,2899.86256545769
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Paper, pulp and printing","eta_fu",0.365666360209119,0.355570878377433
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Rail","Final",156560.792328,22105.702778
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Rail","Useful",11588.80415456,10644.3799318333
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Rail","eta_fu",0.0740211133466997,0.481521896803336
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Residential","Final",395817.013305,606313.006307
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Residential","Useful",42529.5868208424,78135.3705205694
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Residential","eta_fu",0.107447596720839,0.12886969223452
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Road","Final",241670.14147,531375.363036
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Road","Useful",40416.692614541,102293.232968165
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Road","eta_fu",0.167239082034295,0.1925065407318
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Textile and leather","Final",61.1985,1370.448
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Textile and leather","Useful",16.7568563844374,470.597021983209
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Textile and leather","eta_fu",0.273811553950462,0.343389185130125
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Transport not elsewhere specified","Final",18490.1399504311,15245.6342037898
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Transport not elsewhere specified","Useful",1089.26327721292,4293.14804919887
"Africa","PCM","X","Both","None","None","Despecified","Despecified","Net","Transport not elsewhere specified","eta_fu",0.0589104939244944,0.281598521374182
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Agriculture, forestry, and fishing","Final",73970.4940934237,109839.573221744
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Agriculture, forestry, and fishing","Useful",10962.3274232367,24928.3450493535
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Agriculture, forestry, and fishing","eta_fu",0.148198650794348,0.22695231161385
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Commercial and public services","Final",50672.8128033887,114268.842876147
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Commercial and public services","Useful",5312.41818412879,17553.8366717296
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Commercial and public services","eta_fu",0.104837641532572,0.153618748819884
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Energy industry own use","Final",41672.056752,151484.206264
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Energy industry own use","Useful",14629.3316480863,35492.7847701392
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Energy industry own use","eta_fu",0.351058545901605,0.23430023264791
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Final consumption not elsewhere specified","Final",32317.208,79377.7544
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Final consumption not elsewhere specified","Useful",3236.36156576437,9970.66024061514
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Final consumption not elsewhere specified","eta_fu",0.100143600454729,0.125610258390166
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Industry","Final",645702.895863444,965118.824767066
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Industry","Useful",111947.606031137,285359.484205033
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Industry","eta_fu",0.173373244487992,0.295672902529806
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Non-energy use","Final",41672.2795,252850.134198
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Non-energy use","Useful",39.7933579,239.3314473
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Non-energy use","eta_fu",0.000954911955320323,0.000946534784563674
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Residential","Final",395817.013305,606313.006307
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Residential","Useful",42529.5868208424,78135.3705205694
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Residential","eta_fu",0.107447596720839,0.12886969223452
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Transport","Final",424876.711628431,597535.34497179
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Transport","Useful",54494.3264308208,123094.498589506
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Gross","Transport","eta_fu",0.128259151276989,0.206003711119912
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Agriculture, forestry, and fishing","Final",73970.4940934237,109839.573221744
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Agriculture, forestry, and fishing","Useful",10962.3274232367,24928.3450493535
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Agriculture, forestry, and fishing","eta_fu",0.148198650794348,0.22695231161385
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Commercial and public services","Final",50672.8128033887,114268.842876147
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Commercial and public services","Useful",5312.41818412879,17553.8366717296
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Commercial and public services","eta_fu",0.104837641532572,0.153618748819884
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Final consumption not elsewhere specified","Final",32317.208,79377.7544
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Final consumption not elsewhere specified","Useful",3236.36156576437,9970.66024061514
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Final consumption not elsewhere specified","eta_fu",0.100143600454729,0.125610258390166
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Industry","Final",645702.895863444,965118.824767066
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Industry","Useful",111947.606031137,285359.484205033
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Industry","eta_fu",0.173373244487992,0.295672902529806
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Non-energy use","Final",41672.2795,252850.134198
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Non-energy use","Useful",39.7933579,239.3314473
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Non-energy use","eta_fu",0.000954911955320323,0.000946534784563674
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Residential","Final",395817.013305,606313.006307
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Residential","Useful",42529.5868208424,78135.3705205694
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Residential","eta_fu",0.107447596720839,0.12886969223452
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Transport","Final",424876.711628431,597535.34497179
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Transport","Useful",54494.3264308208,123094.498589506
"Africa","PCM","X","Both","None","None","Despecified","Grouped","Net","Transport","eta_fu",0.128259151276989,0.206003711119912
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Agriculture/forestry","Final",73970.4940934237,103813.368069744
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Agriculture/forestry","Useful",10962.3274232367,24194.9672525535
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Agriculture/forestry","eta_fu",0.148198650794348,0.233062154734243
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Blast furnaces","Final",0,0
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Blast furnaces","Useful",0,0
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Blast furnaces","eta_fu",NA,NA
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Charcoal production plants","Final",0,0
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Charcoal production plants","Useful",0,0
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Charcoal production plants","eta_fu",NA,NA
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Chemical and petrochemical","Final",29037.32,54829.2608
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Chemical and petrochemical","Useful",1449.09041157243,21662.0736658621
"Africa","PCM","X","Both","None","None","Grouped","Despecified","Gross","Chemical and petrochemical","eta_fu",0.0499044130647191,0.395082358393971
